iter	Passed	Remaining
0	8	8725
1	18	9347
2	28	9394
3	37	9257
4	48	9695
5	58	9665
6	71	10180
7	86	10683
8	99	10913
9	110	10987
10	121	10964
11	135	11179
12	150	11396
13	158	11184
14	170	11219
15	181	11156
16	189	10984
17	201	10997
18	213	11047
19	223	10964
20	236	11028
21	246	10967
22	256	10899
23	268	10928
24	279	10901
25	289	10831
26	300	10815
27	312	10831
28	321	10762
29	332	10748
30	342	10692
31	351	10640
32	361	10604
33	371	10561
34	382	10557
35	394	10571
36	404	10536
37	415	10512
38	425	10493
39	438	10522
40	451	10557
41	464	10585
42	476	10594
43	487	10597
44	500	10628
45	512	10637
46	524	10642
47	537	10658
48	547	10626
49	558	10613
50	569	10596
51	582	10614
52	594	10621
53	605	10600
54	617	10602
55	628	10599
56	639	10582
57	651	10585
58	662	10565
59	671	10522
60	682	10498
61	692	10476
62	701	10439
63	712	10422
64	721	10381
65	732	10361
66	743	10351
67	752	10313
68	762	10293
69	772	10265
70	782	10241
71	793	10226
72	802	10196
73	813	10173
74	824	10166
75	833	10137
76	843	10114
77	853	10083
78	862	10059
79	874	10058
80	884	10032
81	894	10015
82	903	9986
83	914	9967
84	923	9945
85	933	9916
86	942	9893
87	951	9862
88	961	9838
89	970	9810
90	979	9787
91	990	9771
92	999	9746
93	1008	9723
94	1018	9700
95	1027	9675
96	1035	9640
97	1045	9623
98	1055	9602
99	1064	9579
100	1074	9567
101	1083	9543
102	1093	9525
103	1103	9502
104	1112	9485
105	1122	9468
106	1131	9446
107	1140	9423
108	1150	9404
109	1159	9382
110	1169	9366
111	1179	9348
112	1188	9327
113	1197	9309
114	1205	9279
115	1215	9260
116	1224	9243
117	1235	9232
118	1244	9216
119	1255	9204
120	1264	9187
121	1276	9186
122	1285	9168
123	1296	9159
124	1308	9159
125	1318	9142
126	1328	9129
127	1338	9118
128	1347	9101
129	1357	9086
130	1367	9072
131	1377	9060
132	1388	9050
133	1398	9035
134	1408	9027
135	1421	9029
136	1433	9028
137	1445	9029
138	1457	9028
139	1468	9021
140	1480	9018
141	1492	9015
142	1501	8998
143	1511	8985
144	1520	8968
145	1530	8954
146	1543	8954
147	1561	8986
148	1576	9005
149	1589	9007
150	1603	9017
151	1618	9028
152	1631	9031
153	1644	9035
154	1660	9053
155	1675	9064
156	1687	9061
157	1703	9077
158	1720	9100
159	1732	9096
160	1744	9088
161	1756	9084
162	1765	9068
163	1778	9066
164	1790	9063
165	1802	9053
166	1811	9037
167	1821	9023
168	1831	9006
169	1841	8991
170	1853	8984
171	1863	8971
172	1873	8956
173	1885	8950
174	1895	8935
175	1905	8920
176	1914	8903
177	1925	8889
178	1935	8876
179	1944	8858
180	1955	8847
181	1964	8831
182	1974	8816
183	1984	8801
184	1995	8790
185	2005	8776
186	2014	8758
187	2025	8746
188	2036	8736
189	2045	8718
190	2055	8705
191	2066	8698
192	2077	8685
193	2087	8674
194	2097	8659
195	2107	8644
196	2116	8628
197	2125	8611
198	2136	8599
199	2145	8582
200	2155	8567
201	2164	8551
202	2173	8534
203	2183	8518
204	2192	8503
205	2201	8486
206	2212	8474
207	2222	8460
208	2231	8445
209	2241	8430
210	2250	8415
211	2259	8400
212	2269	8386
213	2278	8369
214	2288	8354
215	2297	8340
216	2308	8330
217	2320	8322
218	2335	8327
219	2348	8326
220	2362	8328
221	2374	8320
222	2385	8313
223	2397	8306
224	2410	8304
225	2423	8299
226	2435	8293
227	2448	8289
228	2461	8286
229	2475	8286
230	2487	8280
231	2502	8285
232	2514	8278
233	2527	8273
234	2538	8264
235	2549	8253
236	2560	8243
237	2572	8235
238	2583	8225
239	2592	8210
240	2602	8195
241	2611	8178
242	2620	8164
243	2630	8149
244	2638	8131
245	2648	8116
246	2657	8100
247	2666	8084
248	2676	8072
249	2685	8055
250	2695	8043
251	2706	8033
252	2717	8022
253	2728	8014
254	2739	8004
255	2751	7996
256	2763	7989
257	2773	7977
258	2784	7967
259	2794	7953
260	2803	7938
261	2813	7923
262	2822	7908
263	2831	7895
264	2840	7879
265	2850	7865
266	2859	7850
267	2869	7836
268	2878	7823
269	2887	7806
270	2897	7793
271	2906	7778
272	2917	7769
273	2928	7760
274	2939	7750
275	2950	7739
276	2959	7725
277	2969	7712
278	2980	7702
279	2989	7687
280	2998	7672
281	3007	7658
282	3017	7645
283	3028	7636
284	3038	7622
285	3048	7609
286	3057	7596
287	3071	7592
288	3087	7595
289	3108	7610
290	3123	7610
291	3138	7609
292	3158	7621
293	3170	7613
294	3182	7606
295	3194	7597
296	3204	7583
297	3214	7572
298	3224	7559
299	3236	7552
300	3246	7539
301	3255	7524
302	3264	7509
303	3274	7495
304	3284	7483
305	3293	7469
306	3301	7453
307	3310	7438
308	3319	7424
309	3329	7410
310	3338	7395
311	3347	7381
312	3356	7367
313	3365	7353
314	3375	7339
315	3384	7324
316	3393	7311
317	3403	7299
318	3413	7287
319	3424	7276
320	3436	7268
321	3447	7259
322	3458	7249
323	3468	7237
324	3477	7223
325	3487	7209
326	3495	7194
327	3505	7181
328	3514	7167
329	3524	7155
330	3534	7144
331	3546	7135
332	3557	7125
333	3568	7115
334	3579	7106
335	3588	7091
336	3598	7078
337	3607	7064
338	3616	7051
339	3625	7038
340	3635	7025
341	3644	7012
342	3653	6998
343	3663	6985
344	3672	6972
345	3681	6959
346	3691	6946
347	3700	6933
348	3710	6920
349	3719	6908
350	3730	6898
351	3740	6886
352	3750	6874
353	3760	6862
354	3769	6848
355	3779	6836
356	3788	6823
357	3797	6810
358	3807	6797
359	3817	6785
360	3826	6773
361	3837	6762
362	3846	6750
363	3857	6739
364	3866	6726
365	3876	6715
366	3887	6704
367	3896	6692
368	3906	6680
369	3915	6666
370	3927	6658
371	3938	6648
372	3948	6637
373	3959	6627
374	3971	6619
375	3983	6610
376	3993	6599
377	4003	6587
378	4013	6575
379	4022	6562
380	4030	6548
381	4040	6536
382	4049	6523
383	4058	6510
384	4067	6497
385	4077	6485
386	4086	6472
387	4095	6460
388	4105	6448
389	4114	6435
390	4124	6423
391	4133	6411
392	4143	6399
393	4152	6386
394	4161	6373
395	4170	6361
396	4180	6350
397	4190	6338
398	4199	6325
399	4208	6313
400	4218	6301
401	4228	6289
402	4237	6277
403	4247	6265
404	4256	6253
405	4265	6241
406	4275	6229
407	4284	6216
408	4294	6204
409	4303	6193
410	4313	6181
411	4322	6169
412	4332	6157
413	4341	6145
414	4351	6133
415	4360	6121
416	4369	6109
417	4379	6097
418	4388	6085
419	4400	6076
420	4411	6066
421	4421	6056
422	4434	6049
423	4445	6039
424	4457	6030
425	4466	6018
426	4476	6007
427	4487	5997
428	4499	5988
429	4509	5977
430	4520	5967
431	4531	5957
432	4542	5947
433	4553	5938
434	4566	5931
435	4579	5923
436	4591	5915
437	4601	5904
438	4612	5894
439	4623	5884
440	4635	5875
441	4646	5865
442	4658	5856
443	4669	5847
444	4680	5837
445	4692	5828
446	4703	5819
447	4714	5809
448	4726	5800
449	4737	5790
450	4749	5781
451	4760	5772
452	4771	5761
453	4782	5752
454	4793	5742
455	4804	5731
456	4815	5721
457	4826	5711
458	4837	5701
459	4849	5692
460	4860	5682
461	4871	5673
462	4883	5663
463	4893	5653
464	4906	5644
465	4917	5635
466	4929	5626
467	4940	5616
468	4952	5607
469	4963	5596
470	4973	5585
471	4983	5574
472	4994	5564
473	5005	5554
474	5016	5544
475	5026	5533
476	5038	5524
477	5049	5514
478	5061	5505
479	5071	5493
480	5080	5481
481	5089	5470
482	5099	5458
483	5108	5446
484	5117	5434
485	5127	5422
486	5135	5410
487	5145	5398
488	5154	5386
489	5163	5374
490	5172	5362
491	5182	5351
492	5193	5340
493	5202	5329
494	5211	5317
495	5221	5305
496	5230	5293
497	5239	5281
498	5248	5269
499	5257	5257
500	5268	5247
501	5277	5235
502	5287	5224
503	5297	5213
504	5307	5202
505	5317	5191
506	5326	5179
507	5336	5168
508	5345	5156
509	5355	5145
510	5365	5134
511	5374	5122
512	5384	5111
513	5396	5102
514	5407	5092
515	5419	5083
516	5432	5074
517	5443	5065
518	5453	5054
519	5465	5045
520	5477	5035
521	5489	5026
522	5500	5017
523	5512	5007
524	5523	4997
525	5533	4986
526	5545	4977
527	5559	4969
528	5571	4960
529	5583	4951
530	5594	4941
531	5606	4931
532	5617	4922
533	5629	4912
534	5639	4901
535	5651	4891
536	5662	4882
537	5674	4872
538	5685	4862
539	5697	4853
540	5708	4843
541	5719	4832
542	5731	4823
543	5743	4814
544	5754	4804
545	5766	4794
546	5778	4785
547	5790	4776
548	5803	4767
549	5815	4758
550	5826	4748
551	5838	4738
552	5849	4727
553	5859	4717
554	5872	4708
555	5884	4699
556	5897	4690
557	5909	4680
558	5920	4670
559	5932	4661
560	5945	4652
561	5956	4642
562	5968	4633
563	5979	4622
564	5991	4613
565	6001	4601
566	6010	4590
567	6020	4579
568	6030	4567
569	6041	4557
570	6052	4547
571	6063	4536
572	6074	4526
573	6085	4516
574	6096	4506
575	6108	4496
576	6119	4486
577	6129	4474
578	6138	4463
579	6149	4453
580	6161	4443
581	6173	4434
582	6184	4423
583	6193	4412
584	6203	4400
585	6212	4389
586	6222	4377
587	6231	4366
588	6241	4355
589	6251	4344
590	6260	4332
591	6269	4321
592	6279	4309
593	6288	4298
594	6298	4286
595	6307	4275
596	6316	4263
597	6325	4252
598	6334	4240
599	6344	4229
600	6353	4217
601	6362	4206
602	6371	4195
603	6381	4184
604	6394	4174
605	6406	4165
606	6418	4155
607	6431	4146
608	6441	4135
609	6451	4124
610	6460	4113
611	6470	4102
612	6479	4090
613	6489	4079
614	6498	4068
615	6508	4057
616	6517	4045
617	6527	4035
618	6538	4024
619	6551	4015
620	6563	4005
621	6573	3994
622	6583	3983
623	6592	3972
624	6602	3961
625	6612	3950
626	6621	3939
627	6631	3928
628	6641	3917
629	6650	3906
630	6661	3895
631	6671	3884
632	6681	3873
633	6691	3863
634	6700	3851
635	6710	3840
636	6720	3829
637	6730	3818
638	6741	3808
639	6750	3797
640	6760	3786
641	6770	3775
642	6780	3764
643	6791	3754
644	6800	3742
645	6810	3732
646	6819	3720
647	6829	3709
648	6840	3699
649	6849	3688
650	6860	3677
651	6869	3666
652	6878	3655
653	6887	3644
654	6897	3632
655	6906	3621
656	6915	3610
657	6925	3599
658	6934	3588
659	6943	3576
660	6953	3566
661	6962	3554
662	6971	3543
663	6980	3532
664	6989	3521
665	6998	3509
666	7007	3498
667	7016	3487
668	7026	3476
669	7036	3465
670	7045	3454
671	7055	3443
672	7064	3432
673	7073	3421
674	7082	3410
675	7092	3399
676	7101	3387
677	7110	3376
678	7119	3366
679	7129	3354
680	7138	3344
681	7150	3333
682	7161	3323
683	7172	3313
684	7181	3302
685	7190	3291
686	7200	3280
687	7209	3269
688	7218	3258
689	7227	3247
690	7237	3236
691	7246	3225
692	7256	3214
693	7265	3203
694	7274	3192
695	7284	3181
696	7293	3170
697	7303	3160
698	7312	3148
699	7321	3137
700	7331	3126
701	7341	3116
702	7350	3105
703	7360	3094
704	7369	3083
705	7380	3073
706	7392	3063
707	7403	3053
708	7415	3043
709	7426	3033
710	7436	3022
711	7445	3011
712	7456	3001
713	7465	2990
714	7475	2979
715	7484	2968
716	7494	2957
717	7504	2947
718	7513	2936
719	7522	2925
720	7531	2914
721	7542	2904
722	7553	2893
723	7564	2883
724	7576	2873
725	7586	2863
726	7594	2852
727	7603	2840
728	7612	2829
729	7621	2818
730	7631	2808
731	7640	2797
732	7649	2786
733	7658	2775
734	7668	2764
735	7678	2754
736	7687	2743
737	7696	2732
738	7705	2721
739	7714	2710
740	7723	2699
741	7732	2688
742	7741	2677
743	7751	2667
